"","ensembl_gene_id","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"ENSG00000156755","ENSG00000156755","9",64765054,64765535,-1,"IG_V_pseudogene","IGKV1OR-2","immunoglobulin kappa variable 1/OR-2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5761]"
"ENSG00000156787","ENSG00000156787","8",123041968,123152257,1,"protein_coding","TBC1D31","TBC1 domain family member 31 [Source:HGNC Symbol;Acc:HGNC:30888]"
"ENSG00000156795","ENSG00000156795","8",123416720,123470028,1,"protein_coding","NTAQ1","N-terminal glutamine amidase 1 [Source:HGNC Symbol;Acc:HGNC:25490]"
"ENSG00000156802","ENSG00000156802","8",123319850,123416350,-1,"protein_coding","ATAD2","ATPase family AAA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30123]"
"ENSG00000156804","ENSG00000156804","8",123497889,123541273,-1,"protein_coding","FBXO32","F-box protein 32 [Source:HGNC Symbol;Acc:HGNC:16731]"
"ENSG00000156831","ENSG00000156831","8",125091673,125368070,1,"protein_coding","NSMCE2","NSE2 SUMO ligase component of SMC5/6 complex [Source:HGNC Symbol;Acc:HGNC:26513]"
"ENSG00000156853","ENSG00000156853","16",30602558,30624012,-1,"protein_coding","ZNF689","zinc finger protein 689 [Source:HGNC Symbol;Acc:HGNC:25173]"
"ENSG00000156858","ENSG00000156858","16",30650696,30656427,1,"protein_coding","PRR14","proline rich 14 [Source:HGNC Symbol;Acc:HGNC:28458]"
"ENSG00000156860","ENSG00000156860","16",30658431,30670810,1,"protein_coding","FBRS","fibrosin [Source:HGNC Symbol;Acc:HGNC:20442]"
"ENSG00000156869","ENSG00000156869","1",99703970,99766642,-1,"protein_coding","FRRS1","ferric chelate reductase 1 [Source:HGNC Symbol;Acc:HGNC:27622]"
"ENSG00000156873","ENSG00000156873","16",30748245,30761176,1,"protein_coding","PHKG2","phosphorylase kinase catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:8931]"
"ENSG00000156875","ENSG00000156875","1",100038076,100083948,1,"protein_coding","SLC71A1","solute carrier family 71 member 1 [Source:HGNC Symbol;Acc:HGNC:23363]"
"ENSG00000156876","ENSG00000156876","1",100083563,100132955,-1,"protein_coding","SASS6","SAS-6 centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:25403]"
"ENSG00000156885","ENSG00000156885","16",31427731,31428433,-1,"protein_coding","COX6A2","cytochrome c oxidase subunit 6A2 [Source:HGNC Symbol;Acc:HGNC:2279]"
"ENSG00000156886","ENSG00000156886","16",31393258,31426505,1,"protein_coding","ITGAD","integrin subunit alpha D [Source:HGNC Symbol;Acc:HGNC:6146]"
"ENSG00000156920","ENSG00000156920","X",136300963,136416890,1,"protein_coding","ADGRG4","adhesion G protein-coupled receptor G4 [Source:HGNC Symbol;Acc:HGNC:18992]"
"ENSG00000156925","ENSG00000156925","X",137563314,137577691,1,"protein_coding","ZIC3","Zic family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:12874]"
"ENSG00000156928","ENSG00000156928","7",23298739,23311729,1,"protein_coding","MALSU1","mitochondrial assembly of ribosomal large subunit 1 [Source:HGNC Symbol;Acc:HGNC:21721]"
"ENSG00000156931","ENSG00000156931","3",184812113,185054009,1,"protein_coding","VPS8","VPS8 subunit of CORVET complex [Source:HGNC Symbol;Acc:HGNC:29122]"
"ENSG00000156958","ENSG00000156958","15",49155656,49367869,1,"protein_coding","GALK2","galactokinase 2 [Source:HGNC Symbol;Acc:HGNC:4119]"
"ENSG00000156959","ENSG00000156959","3",9498361,9553862,-1,"protein_coding","LHFPL4","LHFPL tetraspan subfamily member 4 [Source:HGNC Symbol;Acc:HGNC:29568]"
"ENSG00000156966","ENSG00000156966","2",231395558,231408799,1,"protein_coding","B3GNT7","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:18811]"
"ENSG00000156968","ENSG00000156968","16",15395747,15413271,1,"protein_coding","MPV17L","MPV17 mitochondrial inner membrane protein like [Source:HGNC Symbol;Acc:HGNC:26827]"
"ENSG00000156970","ENSG00000156970","15",40160984,40221137,1,"protein_coding","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]"
"ENSG00000156973","ENSG00000156973","2",231732354,231786272,-1,"protein_coding","PDE6D","phosphodiesterase 6D [Source:HGNC Symbol;Acc:HGNC:8788]"
"ENSG00000156976","ENSG00000156976","3",186783205,186789901,1,"protein_coding","EIF4A2","eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]"
"ENSG00000156983","ENSG00000156983","3",9731726,9748019,1,"protein_coding","BRPF1","bromodomain and PHD finger containing 1 [Source:HGNC Symbol;Acc:HGNC:14255]"
"ENSG00000156990","ENSG00000156990","3",9831633,9844602,-1,"protein_coding","RPUSD3","RNA pseudouridine synthase D3 [Source:HGNC Symbol;Acc:HGNC:28437]"
"ENSG00000157005","ENSG00000157005","3",187668856,187670401,-1,"protein_coding","SST","somatostatin [Source:HGNC Symbol;Acc:HGNC:11329]"
"ENSG00000157014","ENSG00000157014","3",10248023,10281218,1,"protein_coding","TATDN2","TatD DNase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28988]"
"ENSG00000157017","ENSG00000157017","3",10285666,10292959,-1,"protein_coding","GHRL","ghrelin and obestatin prepropeptide [Source:HGNC Symbol;Acc:HGNC:18129]"
"ENSG00000157020","ENSG00000157020","3",10293131,10321207,-1,"protein_coding","SEC13","SEC13 homolog, nuclear pore and COPII component [Source:HGNC Symbol;Acc:HGNC:10697]"
"ENSG00000157021","ENSG00000157021","15",41163162,41164374,1,"unprocessed_pseudogene","CIBAR1P1","CIBAR1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32278]"
"ENSG00000157036","ENSG00000157036","3",38496127,38542242,1,"protein_coding","EXOG","exo/endonuclease G [Source:HGNC Symbol;Acc:HGNC:3347]"
"ENSG00000157045","ENSG00000157045","16",15037853,15056082,-1,"protein_coding","NTAN1","N-terminal asparagine amidase [Source:HGNC Symbol;Acc:HGNC:29909]"
"ENSG00000157060","ENSG00000157060","1",182899865,182953525,-1,"protein_coding","SHCBP1L","SHC binding and spindle associated 1 like [Source:HGNC Symbol;Acc:HGNC:16788]"
"ENSG00000157064","ENSG00000157064","1",183244571,183418421,-1,"protein_coding","NMNAT2","nicotinamide nucleotide adenylyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16789]"
"ENSG00000157077","ENSG00000157077","1",52141883,52348671,1,"protein_coding","ZFYVE9","zinc finger FYVE-type containing 9 [Source:HGNC Symbol;Acc:HGNC:6775]"
"ENSG00000157087","ENSG00000157087","3",10324023,10708060,-1,"protein_coding","ATP2B2","ATPase plasma membrane Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:815]"
"ENSG00000157093","ENSG00000157093","3",42397083,42410610,-1,"protein_coding","LYZL4","lysozyme like 4 [Source:HGNC Symbol;Acc:HGNC:28387]"
"ENSG00000157103","ENSG00000157103","3",10992177,11039247,1,"protein_coding","SLC6A1","solute carrier family 6 member 1 [Source:HGNC Symbol;Acc:HGNC:11042]"
"ENSG00000157106","ENSG00000157106","16",18804860,18926459,-1,"protein_coding","SMG1","SMG1 nonsense mediated mRNA decay associated PI3K related kinase [Source:HGNC Symbol;Acc:HGNC:30045]"
"ENSG00000157107","ENSG00000157107","5",72955527,73090522,1,"protein_coding","FCHO2","FCH and mu domain containing endocytic adaptor 2 [Source:HGNC Symbol;Acc:HGNC:25180]"
"ENSG00000157110","ENSG00000157110","8",30383636,30572261,1,"protein_coding","RBPMS","RNA binding protein, mRNA processing factor [Source:HGNC Symbol;Acc:HGNC:19097]"
"ENSG00000157111","ENSG00000157111","5",73120547,73131823,1,"protein_coding","TMEM171","transmembrane protein 171 [Source:HGNC Symbol;Acc:HGNC:27031]"
"ENSG00000157119","ENSG00000157119","3",42685447,42695071,1,"protein_coding","KLHL40","kelch like family member 40 [Source:HGNC Symbol;Acc:HGNC:30372]"
"ENSG00000157131","ENSG00000157131","1",56854752,56918223,1,"protein_coding","C8A","complement C8 alpha chain [Source:HGNC Symbol;Acc:HGNC:1352]"
"ENSG00000157150","ENSG00000157150","3",12149834,12159395,-1,"protein_coding","TIMP4","TIMP metallopeptidase inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:11823]"
"ENSG00000157152","ENSG00000157152","3",12004325,12192032,1,"protein_coding","SYN2","synapsin II [Source:HGNC Symbol;Acc:HGNC:11495]"
"ENSG00000157168","ENSG00000157168","8",31639222,32855666,1,"protein_coding","NRG1","neuregulin 1 [Source:HGNC Symbol;Acc:HGNC:7997]"
"ENSG00000157181","ENSG00000157181","1",186375401,186421408,1,"protein_coding","ODR4","odr-4 GPCR localization factor homolog [Source:HGNC Symbol;Acc:HGNC:24299]"
"ENSG00000157184","ENSG00000157184","1",53196770,53214197,1,"protein_coding","CPT2","carnitine palmitoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:2330]"
"ENSG00000157191","ENSG00000157191","1",16440664,16460092,1,"protein_coding","NECAP2","NECAP endocytosis associated 2 [Source:HGNC Symbol;Acc:HGNC:25528]"
"ENSG00000157193","ENSG00000157193","1",53242364,53328469,-1,"protein_coding","LRP8","LDL receptor related protein 8 [Source:HGNC Symbol;Acc:HGNC:6700]"
"ENSG00000157211","ENSG00000157211","1",54132687,54153770,-1,"protein_coding","CDCP2","CUB domain containing protein 2 [Source:HGNC Symbol;Acc:HGNC:27297]"
"ENSG00000157212","ENSG00000157212","7",154943687,155003165,-1,"protein_coding","PAXIP1","PAX interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8624]"
"ENSG00000157214","ENSG00000157214","7",90167590,90243408,1,"protein_coding","STEAP2","STEAP2 metalloreductase [Source:HGNC Symbol;Acc:HGNC:17885]"
"ENSG00000157216","ENSG00000157216","1",54225313,54413479,-1,"protein_coding","SSBP3","single stranded DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:15674]"
"ENSG00000157219","ENSG00000157219","7",155070319,155087392,1,"protein_coding","HTR5A","5-hydroxytryptamine receptor 5A [Source:HGNC Symbol;Acc:HGNC:5300]"
"ENSG00000157224","ENSG00000157224","7",90383721,90513402,1,"protein_coding","CLDN12","claudin 12 [Source:HGNC Symbol;Acc:HGNC:2034]"
"ENSG00000157227","ENSG00000157227","14",22836532,22849041,1,"protein_coding","MMP14","matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]"
"ENSG00000157240","ENSG00000157240","7",91264433,91289201,1,"protein_coding","FZD1","frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]"
"ENSG00000157259","ENSG00000157259","7",92447448,92460075,1,"protein_coding","GATAD1","GATA zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29941]"
"ENSG00000157303","ENSG00000157303","9",93058684,93085141,1,"protein_coding","SUSD3","sushi domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28391]"
"ENSG00000157306","ENSG00000157306","14",23511760,23560778,1,"lncRNA","ZFHX2-AS1","ZFHX2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:52658]"
"ENSG00000157315","ENSG00000157315","16",69343018,69351811,-1,"protein_coding","TMED6","transmembrane p24 trafficking protein 6 [Source:HGNC Symbol;Acc:HGNC:28331]"
"ENSG00000157322","ENSG00000157322","16",69950705,69964452,1,"protein_coding","CLEC18A","C-type lectin domain family 18 member A [Source:HGNC Symbol;Acc:HGNC:30388]"
"ENSG00000157326","ENSG00000157326","14",23953713,23969279,1,"protein_coding","DHRS4","dehydrogenase/reductase 4 [Source:HGNC Symbol;Acc:HGNC:16985]"
"ENSG00000157330","ENSG00000157330","1",12746194,12763699,1,"protein_coding","CFAP107","cilia and flagella associated protein 107 [Source:HGNC Symbol;Acc:HGNC:28567]"
"ENSG00000157335","ENSG00000157335","16",70173322,70187361,1,"protein_coding","CLEC18C","C-type lectin domain family 18 member C [Source:HGNC Symbol;Acc:HGNC:28538]"
"ENSG00000157343","ENSG00000157343","6",35737028,35749079,1,"protein_coding","ARMC12","armadillo repeat containing 12 [Source:HGNC Symbol;Acc:HGNC:21099]"
"ENSG00000157349","ENSG00000157349","16",70289663,70335992,1,"protein_coding","DDX19B","DEAD-box helicase 19B [Source:HGNC Symbol;Acc:HGNC:2742]"
"ENSG00000157350","ENSG00000157350","16",70375977,70439263,-1,"protein_coding","ST3GAL2","ST3 beta-galactoside alpha-2,3-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10863]"
"ENSG00000157353","ENSG00000157353","16",70454398,70480275,1,"protein_coding","FCSK","fucose kinase [Source:HGNC Symbol;Acc:HGNC:29500]"
"ENSG00000157368","ENSG00000157368","16",70579868,70661556,1,"protein_coding","IL34","interleukin 34 [Source:HGNC Symbol;Acc:HGNC:28529]"
"ENSG00000157379","ENSG00000157379","14",24290594,24300136,-1,"protein_coding","DHRS1","dehydrogenase/reductase 1 [Source:HGNC Symbol;Acc:HGNC:16445]"
"ENSG00000157388","ENSG00000157388","3",53328963,53813733,1,"protein_coding","CACNA1D","calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]"
"ENSG00000157399","ENSG00000157399","X",2932983,2968475,-1,"protein_coding","ARSL","arylsulfatase L [Source:HGNC Symbol;Acc:HGNC:719]"
"ENSG00000157404","ENSG00000157404","4",54657267,54740783,1,"protein_coding","KIT","KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]"
"ENSG00000157423","ENSG00000157423","16",70802084,71230735,-1,"protein_coding","HYDIN","HYDIN axonemal central pair apparatus protein [Source:HGNC Symbol;Acc:HGNC:19368]"
"ENSG00000157426","ENSG00000157426","4",56337482,56387523,-1,"protein_coding","AASDH","aminoadipate-semialdehyde dehydrogenase [Source:HGNC Symbol;Acc:HGNC:23993]"
"ENSG00000157429","ENSG00000157429","16",71464555,71565502,-1,"protein_coding","ZNF19","zinc finger protein 19 [Source:HGNC Symbol;Acc:HGNC:12981]"
"ENSG00000157445","ENSG00000157445","3",54122127,55074557,1,"protein_coding","CACNA2D3","calcium voltage-gated channel auxiliary subunit alpha2delta 3 [Source:HGNC Symbol;Acc:HGNC:15460]"
"ENSG00000157450","ENSG00000157450","15",58865175,59097508,1,"protein_coding","RNF111","ring finger protein 111 [Source:HGNC Symbol;Acc:HGNC:17384]"
"ENSG00000157456","ENSG00000157456","15",59105066,59126030,1,"protein_coding","CCNB2","cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]"
"ENSG00000157470","ENSG00000157470","15",59372679,59523694,1,"protein_coding","FAM81A","family with sequence similarity 81 member A [Source:HGNC Symbol;Acc:HGNC:28379]"
"ENSG00000157483","ENSG00000157483","15",59132409,59373121,-1,"protein_coding","MYO1E","myosin IE [Source:HGNC Symbol;Acc:HGNC:7599]"
"ENSG00000157500","ENSG00000157500","3",57227708,57289540,1,"protein_coding","APPL1","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1 [Source:HGNC Symbol;Acc:HGNC:24035]"
"ENSG00000157502","ENSG00000157502","X",106168298,106208963,1,"protein_coding","PWWP3B","PWWP domain containing 3B [Source:HGNC Symbol;Acc:HGNC:26583]"
"ENSG00000157510","ENSG00000157510","5",149271786,149343637,1,"protein_coding","AFAP1L1","actin filament associated protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:26714]"
"ENSG00000157514","ENSG00000157514","X",107713221,107777342,-1,"protein_coding","TSC22D3","TSC22 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:3051]"
"ENSG00000157538","ENSG00000157538","21",37221749,37268104,-1,"protein_coding","VPS26C","VPS26 endosomal protein sorting factor C [Source:HGNC Symbol;Acc:HGNC:3044]"
"ENSG00000157540","ENSG00000157540","21",37365573,37526358,1,"protein_coding","DYRK1A","dual specificity tyrosine phosphorylation regulated kinase 1A [Source:HGNC Symbol;Acc:HGNC:3091]"
"ENSG00000157542","ENSG00000157542","21",37607373,38121345,-1,"protein_coding","KCNJ6","potassium inwardly rectifying channel subfamily J member 6 [Source:HGNC Symbol;Acc:HGNC:6267]"
"ENSG00000157551","ENSG00000157551","21",38155549,38307357,1,"protein_coding","KCNJ15","potassium inwardly rectifying channel subfamily J member 15 [Source:HGNC Symbol;Acc:HGNC:6261]"
"ENSG00000157554","ENSG00000157554","21",38380027,38661963,-1,"protein_coding","ERG","ETS transcription factor ERG [Source:HGNC Symbol;Acc:HGNC:3446]"
"ENSG00000157557","ENSG00000157557","21",38805115,38824956,1,"protein_coding","ETS2","ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]"
"ENSG00000157570","ENSG00000157570","11",44726322,44932427,1,"protein_coding","TSPAN18","tetraspanin 18 [Source:HGNC Symbol;Acc:HGNC:20660]"
"ENSG00000157578","ENSG00000157578","21",39405135,39445805,-1,"protein_coding","LCA5L","lebercilin LCA5 like [Source:HGNC Symbol;Acc:HGNC:1255]"
"ENSG00000157593","ENSG00000157593","6",44253872,44257890,-1,"protein_coding","SLC35B2","solute carrier family 35 member B2 [Source:HGNC Symbol;Acc:HGNC:16872]"
"ENSG00000157600","ENSG00000157600","X",110002631,110334219,1,"protein_coding","TMEM164","transmembrane protein 164 [Source:HGNC Symbol;Acc:HGNC:26217]"
"ENSG00000157601","ENSG00000157601","21",41420020,41470071,1,"protein_coding","MX1","MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]"
"ENSG00000157613","ENSG00000157613","11",46277636,46321422,1,"protein_coding","CREB3L1","cAMP responsive element binding protein 3 like 1 [Source:HGNC Symbol;Acc:HGNC:18856]"
"ENSG00000157617","ENSG00000157617","21",41885111,41954022,-1,"protein_coding","C2CD2","C2 calcium dependent domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1266]"
"ENSG00000157625","ENSG00000157625","X",30827442,30975084,-1,"protein_coding","TAB3","TGF-beta activated kinase 1 (MAP3K7) binding protein 3 [Source:HGNC Symbol;Acc:HGNC:30681]"
"ENSG00000157637","ENSG00000157637","17",81244811,81295567,-1,"protein_coding","SLC38A10","solute carrier family 38 member 10 [Source:HGNC Symbol;Acc:HGNC:28237]"
"ENSG00000157653","ENSG00000157653","9",113410054,113429690,1,"protein_coding","C9orf43","chromosome 9 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:23570]"
"ENSG00000157654","ENSG00000157654","9",109498325,110172512,1,"protein_coding","PALM2AKAP2","PALM2 and AKAP2 fusion [Source:HGNC Symbol;Acc:HGNC:33529]"
"ENSG00000157657","ENSG00000157657","9",113876052,114056593,1,"protein_coding","ZNF618","zinc finger protein 618 [Source:HGNC Symbol;Acc:HGNC:29416]"
"ENSG00000157680","ENSG00000157680","7",137381037,137847092,-1,"protein_coding","DGKI","diacylglycerol kinase iota [Source:HGNC Symbol;Acc:HGNC:2855]"
"ENSG00000157693","ENSG00000157693","9",114611206,114646422,1,"protein_coding","TMEM268","transmembrane protein 268 [Source:HGNC Symbol;Acc:HGNC:24513]"
"ENSG00000157703","ENSG00000157703","7",138594285,138701382,-1,"protein_coding","SVOPL","SVOP like [Source:HGNC Symbol;Acc:HGNC:27034]"
"ENSG00000157734","ENSG00000157734","15",64151601,64157481,1,"protein_coding","SNX22","sorting nexin 22 [Source:HGNC Symbol;Acc:HGNC:16315]"
"ENSG00000157741","ENSG00000157741","7",139230356,139330427,1,"protein_coding","UBN2","ubinuclein 2 [Source:HGNC Symbol;Acc:HGNC:21931]"
"ENSG00000157764","ENSG00000157764","7",140719327,140925199,-1,"protein_coding","BRAF","B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]"
"ENSG00000157765","ENSG00000157765","4",25648011,25679132,1,"protein_coding","SLC34A2","solute carrier family 34 member 2 [Source:HGNC Symbol;Acc:HGNC:11020]"
"ENSG00000157766","ENSG00000157766","15",88803427,88875353,1,"protein_coding","ACAN","aggrecan [Source:HGNC Symbol;Acc:HGNC:319]"
"ENSG00000157778","ENSG00000157778","7",1567332,1571078,-1,"protein_coding","PSMG3","proteasome assembly chaperone 3 [Source:HGNC Symbol;Acc:HGNC:22420]"
"ENSG00000157782","ENSG00000157782","12",120640563,120667327,1,"protein_coding","CABP1","calcium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1384]"
"ENSG00000157796","ENSG00000157796","4",39182463,39285810,1,"protein_coding","WDR19","WD repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:18340]"
"ENSG00000157800","ENSG00000157800","7",140293693,140404433,-1,"protein_coding","SLC37A3","solute carrier family 37 member 3 [Source:HGNC Symbol;Acc:HGNC:20651]"
"ENSG00000157823","ENSG00000157823","15",89830599,89894638,-1,"protein_coding","AP3S2","adaptor related protein complex 3 subunit sigma 2 [Source:HGNC Symbol;Acc:HGNC:571]"
"ENSG00000157827","ENSG00000157827","2",152335113,152649831,1,"protein_coding","FMNL2","formin like 2 [Source:HGNC Symbol;Acc:HGNC:18267]"
"ENSG00000157833","ENSG00000157833","2",26173071,26196434,1,"protein_coding","GAREM2","GRB2 associated regulator of MAPK1 subtype 2 [Source:HGNC Symbol;Acc:HGNC:27172]"
"ENSG00000157837","ENSG00000157837","12",120762510,120904414,-1,"protein_coding","SPPL3","signal peptide peptidase like 3 [Source:HGNC Symbol;Acc:HGNC:30424]"
"ENSG00000157851","ENSG00000157851","2",26847747,26950351,1,"protein_coding","DPYSL5","dihydropyrimidinase like 5 [Source:HGNC Symbol;Acc:HGNC:20637]"
"ENSG00000157856","ENSG00000157856","2",26401908,26456717,1,"protein_coding","DRC1","dynein regulatory complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24245]"
"ENSG00000157869","ENSG00000157869","4",13245110,13484365,-1,"protein_coding","RAB28","RAB28, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9768]"
"ENSG00000157870","ENSG00000157870","1",2586491,2591470,1,"protein_coding","PRXL2B","peroxiredoxin like 2B [Source:HGNC Symbol;Acc:HGNC:28390]"
"ENSG00000157873","ENSG00000157873","1",2554244,2565382,1,"protein_coding","TNFRSF14","TNF receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912]"
"ENSG00000157881","ENSG00000157881","1",2508531,2526617,-1,"protein_coding","PANK4","pantothenate kinase 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:19366]"
"ENSG00000157884","ENSG00000157884","2",26579428,26641366,-1,"protein_coding","CIB4","calcium and integrin binding family member 4 [Source:HGNC Symbol;Acc:HGNC:33703]"
"ENSG00000157890","ENSG00000157890","15",65895079,66253811,-1,"protein_coding","MEGF11","multiple EGF like domains 11 [Source:HGNC Symbol;Acc:HGNC:29635]"
"ENSG00000157895","ENSG00000157895","12",121000486,121016504,-1,"protein_coding","C12orf43","chromosome 12 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:25719]"
"ENSG00000157911","ENSG00000157911","1",2403784,2413797,-1,"protein_coding","PEX10","peroxisomal biogenesis factor 10 [Source:HGNC Symbol;Acc:HGNC:8851]"
"ENSG00000157916","ENSG00000157916","1",2390670,2405444,1,"protein_coding","RER1","retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]"
"ENSG00000157927","ENSG00000157927","7",4797055,4883716,-1,"protein_coding","RADIL","Rap associating with DIL domain [Source:HGNC Symbol;Acc:HGNC:22226]"
"ENSG00000157933","ENSG00000157933","1",2227388,2310213,1,"protein_coding","SKI","SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896]"
"ENSG00000157954","ENSG00000157954","7",5190182,5233855,1,"protein_coding","WIPI2","WD repeat domain, phosphoinositide interacting 2 [Source:HGNC Symbol;Acc:HGNC:32225]"
"ENSG00000157965","ENSG00000157965","X",52624998,52632891,1,"transcribed_unprocessed_pseudogene","SSX8P","SSX family member 8, pseudogene [Source:HGNC Symbol;Acc:HGNC:19654]"
"ENSG00000157978","ENSG00000157978","1",25543550,25591296,1,"protein_coding","LDLRAP1","low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:18640]"
"ENSG00000157985","ENSG00000157985","2",235494026,236131793,1,"protein_coding","AGAP1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16922]"
"ENSG00000157992","ENSG00000157992","2",27442337,27446486,1,"protein_coding","KRTCAP3","keratinocyte associated protein 3 [Source:HGNC Symbol;Acc:HGNC:28943]"
"ENSG00000157999","ENSG00000157999","7",6031376,6036552,1,"protein_coding","ANKRD61","ankyrin repeat domain 61 [Source:HGNC Symbol;Acc:HGNC:22467]"
"ENSG00000158006","ENSG00000158006","1",25959767,25999206,-1,"protein_coding","PAFAH2","platelet activating factor acetylhydrolase 2 [Source:HGNC Symbol;Acc:HGNC:8579]"
"ENSG00000158008","ENSG00000158008","1",26019884,26036464,1,"protein_coding","EXTL1","exostosin like glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3515]"
"ENSG00000158014","ENSG00000158014","1",26037252,26046174,-1,"protein_coding","SLC30A2","solute carrier family 30 member 2 [Source:HGNC Symbol;Acc:HGNC:11013]"
"ENSG00000158019","ENSG00000158019","2",27888667,28339184,1,"protein_coding","BABAM2","BRISC and BRCA1 A complex member 2 [Source:HGNC Symbol;Acc:HGNC:1106]"
"ENSG00000158022","ENSG00000158022","1",26051301,26068436,-1,"protein_coding","TRIM63","tripartite motif containing 63 [Source:HGNC Symbol;Acc:HGNC:16007]"
"ENSG00000158023","ENSG00000158023","12",121918555,122003927,1,"protein_coding","CFAP251","cilia and flagella associated protein 251 [Source:HGNC Symbol;Acc:HGNC:28506]"
"ENSG00000158042","ENSG00000158042","11",6680364,6683411,-1,"protein_coding","MRPL17","mitochondrial ribosomal protein L17 [Source:HGNC Symbol;Acc:HGNC:14053]"
"ENSG00000158050","ENSG00000158050","2",96143166,96145447,-1,"protein_coding","DUSP2","dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]"
"ENSG00000158055","ENSG00000158055","1",24199558,24364482,1,"protein_coding","GRHL3","grainyhead like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:25839]"
"ENSG00000158062","ENSG00000158062","1",26281328,26318363,-1,"protein_coding","UBXN11","UBX domain protein 11 [Source:HGNC Symbol;Acc:HGNC:30600]"
"ENSG00000158077","ENSG00000158077","11",7020462,7072055,1,"protein_coding","NLRP14","NLR family pyrin domain containing 14 [Source:HGNC Symbol;Acc:HGNC:22939]"
"ENSG00000158079","ENSG00000158079","9",94030794,94109856,1,"protein_coding","PTPDC1","protein tyrosine phosphatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30184]"
"ENSG00000158089","ENSG00000158089","2",30898696,31155202,-1,"protein_coding","GALNT14","polypeptide N-acetylgalactosaminyltransferase 14 [Source:HGNC Symbol;Acc:HGNC:22946]"
"ENSG00000158092","ENSG00000158092","3",136862177,136953515,1,"protein_coding","NCK1","NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]"
"ENSG00000158104","ENSG00000158104","12",121839120,121863596,-1,"protein_coding","HPD","4-hydroxyphenylpyruvate dioxygenase [Source:HGNC Symbol;Acc:HGNC:5147]"
"ENSG00000158106","ENSG00000158106","8",143368810,143384221,1,"protein_coding","RHPN1","rhophilin Rho GTPase binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19973]"
"ENSG00000158109","ENSG00000158109","1",3624979,3630131,1,"protein_coding","TPRG1L","tumor protein p63 regulated 1 like [Source:HGNC Symbol;Acc:HGNC:27007]"
